id,gender,age_group,goc
3484,Women,Older,Low
3485,Women,Older,Mid
3486,Men,Middle,Low
3487,Women,Middle,Mid
3488,Women,Young,Low
3489,Women,Older,Mid
3490,Women,Older,High
3491,Men,Middle,Mid
3492,Women,Young,Mid
3493,Men,Middle,High
3494,Men,Middle,Low
3495,Women,Middle,Low
3496,Women,Older,Mid
3497,Women,Young,Low
3498,Women,Young,Low
3499,Women,Young,Low
3500,Women,Young,Mid
3501,Women,Older,Low
3502,Women,Older,Low
3503,Women,Older,Low
3504,Women,Older,Low
3505,Women,Older,Low
3506,Women,Young,Low
3507,Women,Middle,Low
3508,Women,Young,Mid
3509,Women,Middle,Low
3510,Women,Older,Low
3511,Women,Young,Low
3512,Women,Middle,Low
3513,Women,Older,High
3514,Women,Young,High
3515,Men,Middle,Low
3516,Women,Middle,Low
3517,Women,Young,Mid
3518,Women,Young,High
3519,Women,Young,Low
3520,Women,Young,Low
3521,Women,Older,Low
3522,Women,Middle,Mid
3523,Women,Older,Mid
3524,Women,Older,Mid
3525,Men,Middle,Mid
3526,Men,Middle,Low
3527,Women,Middle,High
3528,Women,Young,Low
3529,Women,Older,High
3530,Men,Middle,Mid
3531,Women,Young,Mid
3532,Men,Middle,High
3533,Women,Young,High
3534,Women,Older,High
3535,Women,Older,Mid
3536,Women,Young,Mid
3537,Women,Young,Low
3538,Women,Older,High
3539,Men,Middle,Low
3540,Women,Older,Mid
3541,Women,Young,Low
3542,Women,Young,High
3543,Women,Middle,High
3544,Women,Older,Low
3545,Women,Middle,High
3546,Men,Middle,Low
3547,Women,Older,Mid
3548,Women,Young,Low
3549,Women,Young,Mid
3550,Women,Young,Mid
3551,Women,Older,Low
3552,Women,Middle,Low
3553,Women,Young,Low
3554,Men,Middle,Low
3555,Men,Middle,High
3556,Men,Middle,Low
3557,Women,Young,High
3558,Women,Older,Mid
3559,Women,Middle,High
3560,Women,Middle,Low
3561,Women,Middle,Mid
3562,Women,Young,Low
3563,Women,Middle,High
3564,Women,Older,High
3565,Women,Middle,Low
3566,Women,Middle,Low
3567,Women,Older,High
3568,Men,Middle,Mid
3569,Women,Older,Low
3570,Men,Middle,High
3571,Women,Older,High
3572,Men,Middle,High
3573,Women,Middle,High
3574,Women,Older,High
3575,Women,Older,Low
3576,Women,Older,High
3577,Men,Middle,Mid
3578,Men,Middle,Low
3579,Women,Young,Low
3580,Women,Young,Low
3581,Women,Young,Low
3582,Women,Older,Low
3583,Women,Young,Low
3584,Women,Older,Low
3585,Women,Older,Low
3586,Women,Older,Low
3587,Women,Older,Mid
3588,Women,Older,Mid
3589,Men,Middle,High
3590,Women,Older,Mid
3591,Women,Older,Mid
3592,Women,Young,Mid
3593,Women,Older,Low
3594,Women,Older,Low
3595,Women,Middle,Mid
3596,Women,Older,Low
3597,Women,Young,Mid
3598,Women,Older,Low
3599,Women,Young,High
3600,Women,Middle,Low
3601,Women,Older,High
3602,Men,Middle,Mid
3603,Men,Middle,Low
3604,Women,Older,High
3605,Women,Older,High
3606,Women,Young,Mid
3607,Men,Middle,Mid
3608,Women,Middle,Low
3609,Men,Middle,Low
3610,Women,Middle,Low
3611,Men,Middle,High
3612,Women,Older,Mid
3613,Women,Young,Mid
3614,Women,Older,Mid
3615,Women,Older,Mid
3616,Women,Older,Mid
3617,Women,Older,Low
3618,Women,Young,High
3619,Women,Older,Mid
3620,Women,Older,Mid
3621,Women,Older,Low
3622,Women,Older,High
3623,Men,Middle,Mid
3624,Women,Older,Low
3625,Women,Middle,High
3626,Women,Young,Low
3627,Women,Middle,Low
3628,Women,Young,High
3629,Men,Middle,Low
3630,Women,Young,High
3631,Women,Young,Low
3632,Men,Middle,Low
3633,Women,Middle,Low
3634,Women,Middle,High
3635,Women,Middle,Low
3636,Women,Older,Low
3637,Women,Older,Low
3638,Women,Young,High
3639,Women,Young,Mid
3640,Women,Young,Mid
3641,Women,Middle,Low
3642,Women,Older,High
3643,Men,Middle,Mid
3644,Women,Older,High
3645,Men,Middle,Mid
3646,Women,Middle,Mid
3647,Women,Older,High
3648,Women,Older,Mid
3649,Men,Middle,High
3650,Women,Older,Mid
3651,Men,Middle,Mid
3652,Women,Older,Low
3653,Women,Older,Mid
3654,Men,Middle,Low
3655,Women,Middle,Low
3656,Women,Older,Mid
3657,Women,Middle,Mid
3658,Women,Older,High
3659,Women,Middle,Mid
3660,Women,Older,Low
3661,Women,Young,Low
3662,Women,Young,Mid
3663,Men,Middle,Mid
3664,Women,Young,Low
3665,Men,Middle,Low
3666,Women,Middle,Mid
3667,Women,Young,High
3668,Women,Young,Mid
3669,Women,Older,Low
3670,Women,Young,Low
3671,Women,Young,High
3672,Men,Middle,Low
3673,Women,Middle,High
3674,Women,Young,Mid
3675,Women,Young,Low
3676,Women,Older,Low
3677,Men,Middle,High
3678,Men,Middle,Low
3679,Women,Young,Mid
3680,Women,Young,Mid
3681,Women,Older,Mid
3682,Women,Middle,Mid
3683,Women,Young,Low
3684,Women,Older,Mid
3685,Women,Young,Mid
3686,Women,Older,Mid
3687,Women,Young,Low
3688,Women,Middle,Low
3689,Women,Older,Low
3690,Women,Older,Mid
3691,Women,Older,High
3692,Women,Young,Low
3693,Women,Older,High
3694,Women,Middle,Mid
3695,Women,Young,High
3696,Women,Older,Mid
3697,Women,Young,High
3698,Women,Young,Low
3699,Women,Young,Mid
3700,Men,Middle,Low
3701,Women,Older,Mid
3702,Women,Middle,Low
3703,Men,Middle,High
3704,Women,Young,High
3705,Men,Middle,Low
3706,Women,Middle,High
3707,Women,Young,Mid
3708,Men,Middle,Mid
3709,Women,Young,Low
3710,Women,Young,Low
3711,Women,Middle,High
3712,Women,Older,High
3713,Women,Young,Low
3714,Women,Young,High
3715,Women,Middle,High
3716,Women,Middle,Low
3717,Women,Older,Low
3718,Women,Older,Low
3719,Women,Older,Low
3720,Women,Older,Mid
3721,Women,Older,Mid
3722,Women,Middle,Mid
3723,Women,Young,Mid
3724,Women,Young,Low
3725,Women,Middle,High
3726,Men,Middle,Mid
3727,Women,Older,Mid
3728,Women,Older,Mid
3729,Women,Young,Mid
3730,Women,Older,High
3731,Women,Older,High
3732,Women,Older,Low
3733,Women,Older,High
3734,Women,Young,Mid
3735,Women,Older,High
3736,Women,Young,Low
3737,Women,Older,Mid
3738,Women,Young,Mid
3739,Women,Young,High
3740,Women,Young,Low
3741,Women,Middle,Low
3742,Women,Middle,Low
3743,Women,Older,Mid
3744,Women,Middle,Mid
3745,Women,Young,Low
3746,Women,Young,Mid
3747,Women,Older,Low
3748,Men,Middle,Low
3749,Men,Middle,Mid
3750,Women,Young,Low
3751,Women,Young,Mid
3752,Women,Middle,High
3753,Women,Middle,Mid
3754,Women,Middle,Mid
3755,Women,Older,Low
3756,Women,Older,Mid
3757,Women,Young,Low
3758,Women,Young,Low
3759,Women,Middle,High
3760,Women,Older,High
3761,Women,Older,Low
3762,Women,Young,High
3763,Women,Middle,Mid
3764,Women,Older,Low
3765,Women,Older,Low
3766,Women,Middle,Low
3767,Women,Older,High
3768,Women,Young,Low
3769,Women,Older,Mid
3770,Women,Middle,Low
3771,Women,Young,Mid
3772,Women,Middle,Low
3773,Women,Older,Mid
3774,Women,Middle,Low
3775,Men,Middle,Mid
3776,Women,Older,High
3777,Women,Middle,Mid
3778,Women,Young,High
3779,Women,Young,Low
3780,Women,Older,High
3781,Women,Young,Low
3782,Men,Middle,Low
3783,Women,Older,Mid
3784,Women,Young,Mid
3785,Men,Middle,Low
3786,Women,Older,Low
3787,Women,Middle,High
3788,Women,Older,Mid
3789,Men,Middle,Mid
3790,Women,Young,Low
3791,Women,Older,Mid
3792,Women,Older,Mid
3793,Women,Older,Mid
3794,Men,Middle,High
3795,Women,Older,Low
3796,Women,Young,High
3797,Women,Young,Low
3798,Women,Older,Low
3799,Women,Older,Low
3800,Men,Middle,Low
3801,Women,Middle,Low
3802,Women,Older,Mid
3803,Women,Young,Mid
3804,Women,Young,Low
3805,Men,Middle,High
3806,Men,Middle,Mid
3807,Women,Young,Low
3808,Women,Older,Low
3809,Women,Older,Mid
3810,Women,Older,High
3811,Women,Older,Mid
3812,Women,Older,Low
3813,Women,Young,Low
3814,Women,Middle,Low
3815,Women,Young,Low
3816,Women,Middle,Low
3817,Women,Young,Low
3818,Women,Young,High
3819,Women,Older,Low
3820,Women,Young,Low
3821,Women,Older,High
3822,Women,Middle,Low
3823,Women,Older,Mid
3824,Women,Older,Mid
3825,Women,Older,Low
3826,Women,Middle,Mid
3827,Women,Middle,Low
3828,Women,Middle,Low
3829,Women,Middle,Low
3830,Women,Middle,Low
3831,Women,Young,Low
3832,Women,Young,High
3833,Women,Older,Mid
3834,Women,Young,Low
3835,Men,Middle,Mid
3836,Women,Young,Low
3837,Women,Young,Low
3838,Women,Older,Low
3839,Women,Young,Mid
3840,Men,Middle,Low
3841,Women,Young,Mid
3842,Women,Young,Low
3843,Women,Middle,High
3844,Women,Middle,Low
3845,Women,Older,Low
3846,Women,Young,Low
3847,Men,Middle,Low
3848,Women,Older,High
3849,Women,Older,High
3850,Women,Older,Mid
3851,Women,Middle,Mid
3852,Women,Older,Low
3853,Women,Middle,Mid
3854,Women,Older,Mid
3855,Men,Middle,High
3856,Women,Middle,Mid
3857,Men,Middle,Low
3858,Women,Young,Low
3859,Women,Young,Low
3860,Women,Young,High
3861,Women,Young,High
3862,Men,Middle,Low
3863,Women,Older,Mid
3864,Women,Older,High
3865,Women,Young,Low
3866,Men,Middle,Low
3867,Women,Middle,High
3868,Women,Older,High
3869,Women,Middle,Low
3870,Women,Young,Mid
3871,Women,Older,Mid
3872,Women,Young,Low
3873,Women,Middle,Low
3874,Women,Young,Low
3875,Women,Young,Low
3876,Men,Middle,Low
3877,Women,Middle,Low
3878,Women,Older,Mid
3879,Women,Middle,Mid
3880,Men,Middle,High
3881,Women,Older,High
3882,Women,Young,Low
3883,Men,Middle,Mid
3884,Men,Middle,Low
3885,Men,Middle,Low
3886,Men,Middle,Mid
3887,Women,Older,Mid
3888,Women,Young,High
3889,Women,Young,Mid
3890,Men,Middle,High
3891,Women,Young,Mid
3892,Women,Middle,Low
3893,Women,Older,Low
3894,Women,Young,Low
3895,Women,Older,High
3896,Women,Older,Mid
3897,Women,Older,Mid
3898,Men,Middle,Low
3899,Women,Middle,High
3900,Women,Older,Mid
3901,Women,Young,Low
3902,Women,Older,Mid
3903,Women,Young,Mid
3904,Women,Older,Mid
3905,Women,Older,Mid
3906,Women,Middle,Mid
3907,Women,Older,Mid
3908,Men,Middle,High
3909,Women,Middle,Low
3910,Women,Older,High
3911,Women,Middle,Mid
3912,Women,Middle,Low
3913,Women,Young,Low
3914,Women,Older,Mid
3915,Women,Middle,Low
3916,Women,Older,Low
3917,Women,Older,High
3918,Women,Older,Low
3919,Women,Older,Mid
3920,Women,Older,Low
3921,Women,Young,Mid
3922,Women,Young,Mid
3923,Women,Young,High
3924,Women,Young,Mid
3925,Women,Young,Low
3926,Women,Older,Mid
3927,Men,Middle,Low
3928,Women,Older,Mid
3929,Women,Older,High
3930,Women,Middle,Low
3931,Women,Middle,High
3932,Men,Middle,Mid
3933,Women,Young,Mid
3934,Women,Young,High
3935,Women,Young,High
3936,Women,Older,Low
3937,Women,Older,Mid
3938,Women,Young,Low
3939,Women,Older,Mid
3940,Women,Older,High
3941,Women,Young,Mid
3942,Women,Older,Mid
3943,Women,Older,Mid
3944,Women,Young,High
3945,Men,Middle,High
3946,Women,Older,Mid
3947,Men,Middle,Low
3948,Women,Older,High
3949,Men,Middle,High
3950,Men,Middle,Low
3951,Men,Middle,Mid
3952,Women,Young,Low
3953,Women,Older,Low
3954,Women,Young,Low
3955,Women,Older,Low
3956,Women,Young,Mid
3957,Women,Young,Mid
3958,Women,Older,Low
3959,Men,Middle,Low
3960,Women,Young,Mid
3961,Men,Middle,Low
3962,Women,Young,Low
3963,Men,Middle,Low
3964,Women,Young,Mid
3965,Women,Young,Low
3966,Women,Older,Mid
3967,Women,Older,Mid
3968,Women,Young,Low
3969,Women,Young,Mid
3970,Women,Middle,Low
3971,Women,Older,Low
3972,Women,Middle,Mid
3973,Men,Middle,High
3974,Women,Older,Mid
3975,Women,Older,Mid
3976,Women,Older,Low
3977,Women,Young,Low
3978,Men,Middle,Low
3979,Women,Older,Mid
3980,Women,Young,Mid
3981,Women,Young,Mid
3982,Women,Young,Low
3983,Women,Middle,High
3984,Women,Young,High
3985,Women,Young,Mid
3986,Men,Middle,High
3987,Women,Older,High
3988,Men,Middle,Low
3989,Women,Older,Low
3990,Women,Young,High
3991,Men,Middle,Mid
3992,Women,Middle,Low
3993,Women,Young,Low
3994,Men,Middle,High
3995,Women,Young,Low
3996,Women,Young,Low
3997,Women,Older,Mid
3998,Women,Older,High
3999,Men,Middle,Mid
4000,Women,Older,High
4001,Women,Young,Mid
4002,Women,Young,Low
4003,Women,Older,Mid
4004,Women,Older,Mid
4005,Women,Young,Low
4006,Men,Middle,Mid
4007,Women,Older,High
4008,Men,Middle,Mid
4009,Women,Older,Mid
4010,Women,Young,Low
4011,Men,Middle,Mid
4012,Men,Middle,Low
4013,Women,Older,Low
4014,Women,Young,Low
4015,Women,Young,Low
4016,Women,Older,High
4017,Men,Middle,Low
4018,Women,Older,Low
4019,Women,Young,Low
4020,Women,Older,Mid
4021,Women,Young,Low
4022,Women,Middle,Mid
4023,Women,Young,Mid
4024,Women,Older,Mid
4025,Men,Middle,Low
4026,Women,Young,Mid
4027,Women,Young,High
4028,Women,Older,Low
4029,Men,Middle,Mid
4030,Women,Older,Low
4031,Women,Middle,Mid
4032,Women,Middle,Low
4033,Women,Young,High
4034,Women,Older,High
4035,Women,Young,Low
4036,Women,Older,High
4037,Women,Middle,High
4038,Men,Middle,Low
4039,Women,Young,Mid
4040,Women,Older,Mid
4041,Women,Older,Mid
4042,Women,Young,Mid
4043,Women,Middle,Low
4044,Men,Middle,Mid
4045,Men,Middle,Low
4046,Women,Middle,Mid
4047,Men,Middle,High
4048,Women,Young,Low
4049,Women,Young,Low
4050,Men,Middle,Low
4051,Men,Middle,High
4052,Women,Middle,Low
4053,Women,Young,High
4054,Men,Middle,High
4055,Women,Middle,Low
4056,Women,Young,Mid
4057,Women,Older,Low
4058,Women,Young,Low
4059,Men,Middle,Mid
4060,Men,Middle,Mid
4061,Women,Middle,Mid
4062,Women,Middle,Mid
4063,Women,Older,High
4064,Women,Older,High
4065,Women,Older,High
4066,Women,Middle,Low
4067,Men,Middle,Low
4068,Men,Middle,Low
4069,Women,Young,Mid
4070,Men,Middle,Low
4071,Women,Middle,Low
4072,Men,Middle,Low
4073,Men,Middle,High
4074,Women,Middle,High
4075,Women,Older,Mid
4076,Women,Older,Mid
4077,Men,Middle,Low
4078,Men,Middle,Low
4079,Women,Older,Low
4080,Women,Middle,Mid
4081,Women,Older,Low
4082,Women,Older,Mid
4083,Women,Older,Mid
4084,Men,Middle,Mid
4085,Women,Older,Mid
4086,Women,Older,High
4087,Women,Young,Low
4088,Women,Young,Low
4089,Men,Middle,Mid
4090,Women,Older,Low
4091,Women,Middle,High
4092,Women,Young,High
4093,Women,Middle,Low
4094,Women,Older,Low
4095,Women,Older,Mid
4096,Women,Young,Low
4097,Men,Middle,Low
4098,Women,Middle,Mid
4099,Women,Middle,Mid
4100,Women,Young,Mid
4101,Men,Middle,Mid
4102,Men,Middle,Mid
4103,Women,Young,Low
4104,Women,Young,Low
4105,Women,Young,Low
4106,Women,Middle,Mid
4107,Women,Older,Low
4108,Women,Older,High
4109,Women,Young,Mid
4110,Women,Middle,Low
4111,Men,Middle,High
4112,Women,Young,High
4113,Women,Older,Mid
4114,Women,Young,Mid
4115,Women,Older,Mid
4116,Women,Middle,Low
4117,Men,Middle,High
4118,Men,Middle,Low
4119,Women,Older,High
4120,Women,Older,Mid
4121,Women,Older,Low
4122,Women,Older,Mid
4123,Women,Young,Mid
4124,Women,Young,Low
4125,Women,Older,High
4126,Women,Young,Mid
4127,Women,Young,Low
4128,Women,Young,Low
4129,Women,Older,High
4130,Women,Older,High
4131,Women,Older,Low
4132,Women,Middle,Mid
4133,Women,Older,Mid
4134,Women,Young,Low
4135,Women,Older,High
4136,Men,Middle,Mid
4137,Men,Middle,Low
4138,Women,Young,Low
4139,Women,Older,High
4140,Men,Middle,Low
4141,Men,Middle,Low
4142,Men,Middle,Low
4143,Men,Middle,Low
4144,Women,Older,Low
4145,Women,Older,Low
4146,Women,Young,Mid
4147,Men,Middle,High
4148,Women,Young,Low
4149,Women,Older,Low
4150,Women,Middle,Mid
4151,Men,Middle,Low
4152,Women,Older,Low
4153,Men,Middle,Low
4154,Women,Older,Mid
4155,Men,Middle,Low
4156,Women,Young,Low
4157,Women,Older,High
4158,Women,Young,Mid
4159,Women,Middle,Low
4160,Men,Middle,Low
4161,Women,Older,High
4162,Women,Older,Low
4163,Men,Middle,Mid
4164,Women,Older,High
4165,Women,Young,Low
4166,Women,Older,Low
4167,Men,Middle,Low
4168,Women,Young,High
4169,Women,Middle,Low
4170,Women,Young,High
4171,Men,Middle,Low
4172,Women,Older,Low
4173,Women,Young,Mid
4174,Women,Young,Mid
4175,Women,Middle,Mid
4176,Women,Older,Mid
4177,Women,Older,Low
4178,Women,Young,Low
4179,Women,Older,Low
4180,Women,Young,High
4181,Women,Young,High
4182,Women,Older,Mid
4183,Women,Young,High
4184,Women,Young,Low
4185,Women,Older,Mid
4186,Women,Young,Low
4187,Women,Young,High
4188,Men,Middle,Low
4189,Women,Older,Mid
4190,Women,Middle,Mid
4191,Women,Older,High
4192,Men,Middle,Mid
4193,Women,Middle,Mid
4194,Men,Middle,Mid
4195,Women,Older,Low
4196,Women,Older,Mid
4197,Women,Middle,Low
4198,Men,Middle,Low
4199,Women,Middle,Low
4200,Women,Young,Mid
4201,Women,Middle,Mid
4202,Women,Middle,Low
4203,Women,Middle,Low
4204,Women,Middle,Mid
4205,Women,Middle,Mid
4206,Women,Older,High
4207,Women,Older,Low
4208,Men,Middle,Mid
4209,Women,Young,Low
4210,Women,Middle,Mid
4211,Women,Young,Mid
4212,Women,Older,High
4213,Women,Older,High
4214,Women,Young,Low
4215,Women,Older,Low
4216,Women,Older,Low
4217,Women,Young,Mid
4218,Men,Middle,Low
4219,Women,Older,Mid
4220,Women,Middle,Mid
4221,Women,Young,Low
4222,Women,Young,Low
4223,Women,Middle,Low
4224,Women,Young,Mid
4225,Women,Middle,Low
4226,Women,Older,Low
4227,Women,Middle,High
4228,Men,Middle,Low
4229,Women,Older,Mid
4230,Women,Young,Low
4231,Women,Young,Low
4232,Men,Middle,Low
4233,Men,Middle,Mid
4234,Women,Older,High
4235,Women,Young,Mid
4236,Women,Older,High
4237,Women,Young,Mid
4238,Men,Middle,Mid
4239,Women,Young,Low
4240,Women,Middle,High
4241,Women,Young,High
4242,Women,Young,Mid
4243,Women,Middle,Low
4244,Women,Middle,Low
4245,Women,Middle,Low
4246,Women,Older,Low
4247,Women,Older,Low
4248,Men,Middle,Mid
4249,Women,Middle,Mid
4250,Women,Older,Mid
4251,Women,Young,Low
4252,Women,Young,Mid
4253,Women,Older,Low
4254,Women,Middle,Mid
4255,Women,Older,Mid
4256,Women,Middle,Low
4257,Women,Older,Mid
4258,Women,Older,High
4259,Women,Young,Low
4260,Women,Middle,Low
4261,Women,Young,Low
4262,Men,Middle,Low
4263,Women,Older,High
4264,Women,Older,Low
4265,Men,Middle,Low
4266,Men,Middle,Low
4267,Women,Young,High
4268,Women,Young,Mid
4269,Women,Older,Mid
4270,Women,Young,Low
4271,Women,Young,Mid
4272,Women,Older,Low
4273,Women,Middle,Low
4274,Men,Middle,Low
4275,Women,Young,Mid
4276,Men,Middle,Mid
4277,Women,Middle,High
4278,Women,Older,Mid
4279,Women,Young,Low
4280,Women,Young,Mid
4281,Women,Young,Low
4282,Women,Middle,Low
4283,Women,Middle,High
4284,Women,Young,Low
4285,Women,Older,Mid
4286,Women,Young,Mid
4287,Women,Young,Low
4288,Women,Older,High
4289,Men,Middle,Low
4290,Women,Young,Mid
4291,Men,Middle,Mid
4292,Women,Young,Low
4293,Women,Young,Mid
4294,Men,Middle,High
4295,Women,Older,Low
4296,Women,Middle,Mid
4297,Women,Young,Low
4298,Women,Older,High
4299,Women,Young,Mid
4300,Women,Older,Low
4301,Women,Young,Mid
4302,Men,Middle,High
4303,Women,Middle,Low
4304,Women,Young,Low
4305,Women,Older,Low
4306,Women,Young,Mid
4307,Women,Older,Mid
4308,Women,Older,Mid
4309,Men,Middle,Low
4310,Women,Young,Mid
4311,Women,Young,Low
4312,Men,Middle,Low
4313,Women,Young,Mid
4314,Men,Middle,Low
4315,Women,Older,Low
4316,Women,Young,Low
4317,Women,Young,Mid
4318,Men,Middle,Mid
4319,Men,Middle,Low
4320,Women,Young,Mid
4321,Women,Young,High
4322,Men,Middle,Mid
4323,Women,Older,High
4324,Women,Middle,Mid
4325,Women,Young,High
4326,Men,Middle,Mid
4327,Women,Young,Mid
4328,Women,Middle,Mid
4329,Women,Middle,Mid
4330,Women,Older,Mid
4331,Women,Young,Low
4332,Women,Older,Mid
4333,Women,Older,Low
4334,Women,Young,Low
4335,Men,Middle,Low
4336,Women,Middle,Low
4337,Men,Middle,Mid
4338,Women,Older,Low
4339,Women,Older,Mid
4340,Women,Older,High
4341,Men,Middle,Mid
4342,Women,Young,Low
4343,Women,Young,Mid
4344,Women,Older,High
4345,Women,Middle,Mid
4346,Women,Middle,Low
4347,Women,Older,Mid
4348,Women,Middle,Mid
4349,Women,Young,Low
4350,Women,Older,Low
4351,Women,Young,Low
4352,Women,Middle,Low
4353,Women,Older,High
4354,Women,Young,Low
4355,Women,Older,Mid
4356,Women,Middle,Low
4357,Women,Young,High
4358,Men,Middle,Low
4359,Men,Middle,Mid
4360,Men,Middle,High
4361,Women,Older,Mid
4362,Men,Middle,Low
4363,Women,Middle,Low
4364,Women,Young,Low
4365,Women,Middle,Low
4366,Women,Young,High
4367,Women,Older,Mid
4368,Women,Young,Mid
4369,Men,Middle,Low
4370,Women,Older,Mid
4371,Women,Older,Mid
4372,Women,Young,Low
4373,Women,Middle,Low
4374,Women,Older,Low
4375,Women,Middle,Mid
4376,Women,Older,Mid
4377,Women,Young,Low
4378,Women,Older,Low
4379,Women,Young,High
4380,Women,Young,Mid
4381,Men,Middle,Mid
4382,Women,Older,Low
4383,Women,Older,Low
4384,Women,Young,Mid
4385,Women,Older,High
4386,Women,Older,Mid
4387,Women,Older,Mid
4388,Women,Older,Low
4389,Women,Older,Mid
4390,Men,Middle,Low
4391,Women,Older,High
4392,Women,Older,Mid
4393,Men,Middle,Mid
4394,Women,Young,Low
4395,Women,Young,Mid
4396,Women,Older,Mid
4397,Women,Older,Low
4398,Women,Young,Low
4399,Women,Older,Low
4400,Women,Young,Low
4401,Men,Middle,High
4402,Women,Young,Mid
4403,Women,Young,Low
4404,Women,Young,Low
4405,Women,Older,Mid
4406,Women,Older,Mid
4407,Women,Older,Low
4408,Women,Older,High
4409,Men,Middle,Low
4410,Women,Middle,Low
4411,Women,Young,High
4412,Women,Young,Low
4413,Men,Middle,Low
4414,Women,Young,Low
4415,Women,Middle,Mid
4416,Women,Middle,High
4417,Men,Middle,Low
4418,Women,Older,Mid
4419,Women,Middle,Low
4420,Men,Middle,Low
4421,Women,Young,Low
4422,Women,Older,Mid
4423,Men,Middle,High
4424,Women,Young,High
4425,Women,Older,Low
4426,Women,Young,Low
4427,Women,Young,Mid
4428,Women,Older,High
4429,Men,Middle,Low
4430,Women,Older,High
4431,Women,Young,High
4432,Women,Middle,Mid
4433,Men,Middle,Low
4434,Women,Middle,Mid
4435,Women,Middle,Low
4436,Women,Young,Low
4437,Women,Older,Mid
4438,Women,Young,Mid
4439,Men,Middle,High
4440,Women,Older,Low
4441,Women,Young,Low
4442,Women,Older,Low
4443,Women,Older,Low
4444,Men,Middle,High
4445,Women,Young,Low
4446,Women,Middle,Mid
4447,Women,Older,Low
4448,Women,Young,Low
4449,Women,Older,Mid
4450,Women,Older,High
4451,Women,Older,Low
4452,Women,Middle,Low
4453,Women,Young,Mid
4454,Women,Middle,High
4455,Women,Young,High
4456,Women,Older,Mid
4457,Women,Young,Low
4458,Women,Young,High
4459,Women,Older,Low
4460,Women,Middle,Low
4461,Women,Young,Low
4462,Women,Middle,Mid
4463,Women,Young,Mid
4464,Women,Young,Low
4465,Men,Middle,Low
4466,Women,Young,Mid
4467,Women,Middle,Low
4468,Women,Young,Low
4469,Women,Young,Low
4470,Women,Older,Mid
4471,Women,Older,High
4472,Women,Older,Mid
4473,Women,Older,Mid
4474,Women,Young,Mid
4475,Women,Middle,Mid
4476,Women,Young,High
4477,Women,Young,Mid
4478,Women,Older,Mid
4479,Women,Older,Low
4480,Men,Middle,Low
4481,Women,Middle,High
4482,Men,Middle,Low
4483,Women,Older,Mid
4484,Women,Young,Low
4485,Women,Young,Low
4486,Women,Young,Mid
4487,Men,Middle,Low
4488,Women,Older,Low
4489,Women,Middle,Mid
4490,Men,Middle,Low
4491,Women,Young,Mid
4492,Women,Older,High
4493,Women,Middle,Mid
4494,Women,Middle,High
4495,Women,Young,Mid
4496,Women,Young,High
4497,Women,Young,Low
4498,Men,Middle,High
4499,Men,Middle,Mid
4500,Women,Young,High
4501,Women,Middle,Low
4502,Women,Middle,Low
4503,Women,Middle,Mid
4504,Women,Older,Low
4505,Women,Middle,High
4506,Men,Middle,High
4507,Women,Young,Mid
4508,Men,Middle,High
4509,Women,Older,Mid
4510,Women,Young,Mid
4511,Men,Middle,Low
4512,Women,Young,High
4513,Women,Young,Low
4514,Women,Young,High
4515,Women,Middle,Mid
4516,Women,Middle,Low
4517,Women,Young,Mid
4518,Women,Older,Low
4519,Women,Young,Mid
4520,Men,Middle,High
4521,Men,Middle,Mid
4522,Women,Young,High
4523,Women,Older,Low
4524,Women,Older,Low
4525,Men,Middle,Mid
4526,Men,Middle,High
4527,Men,Middle,Mid
4528,Men,Middle,Mid
4529,Men,Middle,High
4530,Women,Young,Mid
4531,Women,Middle,High
4532,Women,Young,Low
4533,Men,Middle,Mid
4534,Women,Older,Mid
4535,Women,Young,Low
4536,Women,Young,Mid
4537,Women,Older,High
4538,Men,Middle,Low
4539,Women,Older,Low
4540,Women,Older,High
4541,Men,Middle,Low
4542,Women,Young,High
4543,Women,Middle,High
4544,Women,Older,High
4545,Women,Older,Low
4546,Men,Middle,Low
4547,Men,Middle,Mid
4548,Women,Older,High
4549,Women,Young,Low
4550,Men,Middle,Mid
4551,Women,Older,Mid
4552,Women,Older,Low
4553,Women,Middle,Low
4554,Men,Middle,Low
4555,Women,Middle,High
4556,Women,Middle,Low
4557,Women,Young,Low
4558,Women,Young,Mid
4559,Women,Older,Low
4560,Women,Older,Low
4561,Women,Middle,High
4562,Women,Young,Low
4563,Women,Young,Low
4564,Men,Middle,High
4565,Women,Young,Low
4566,Women,Young,Low
4567,Women,Older,Mid
4568,Women,Middle,Mid
4569,Women,Young,Mid
4570,Women,Middle,Mid
4571,Women,Older,High
4572,Women,Middle,Mid
4573,Men,Middle,Mid
4574,Men,Middle,Low
4575,Women,Older,Low
4576,Women,Young,Low
4577,Women,Older,Low
4578,Women,Middle,Mid
4579,Women,Older,Low
4580,Men,Middle,High
4581,Women,Young,Low
4582,Women,Older,Low
4583,Women,Older,Mid
4584,Women,Older,Mid
4585,Women,Older,Low
4586,Men,Middle,Low
4587,Women,Middle,High
4588,Women,Older,Mid
4589,Men,Middle,High
4590,Women,Middle,Mid
4591,Women,Middle,High
4592,Women,Young,Low
4593,Women,Middle,Low
4594,Women,Older,Low
4595,Women,Young,Low
4596,Women,Young,Low
4597,Women,Older,Low
4598,Women,Middle,Mid
4599,Men,Middle,Mid
4600,Women,Young,Mid
4601,Women,Young,Low
